Time used: 34.19000005722046, Time in circle: 0
Time used: 35.09999990463257, Time in circle: 0
Time used: 36.0699999332428, Time in circle: 0
Time used: 36.94000005722046, Time in circle: 0
Time used: 37.83999991416931, Time in circle: 0
Time used: 38.75, Time in circle: 0
Time used: 39.71000003814697, Time in circle: 0
Time used: 40.61999988555908, Time in circle: 0
Time used: 41.53999996185303, Time in circle: 0
Time used: 42.420000076293945, Time in circle: 0
Time used: 43.359999895095825, Time in circle: 0
Time used: 44.299999952316284, Time in circle: 0
Time used: 45.21000003814697, Time in circle: 0
Time used: 46.12999987602234, Time in circle: 0
Time used: 47.08999991416931, Time in circle: 0
Time used: 48.08999991416931, Time in circle: 0
Time used: 49.0699999332428, Time in circle: 0
Time used: 50.02999997138977, Time in circle: 0
Time used: 50.97000002861023, Time in circle: 0
Time used: 51.859999895095825, Time in circle: 0
Time used: 52.75, Time in circle: 0
Time used: 53.62999987602234, Time in circle: 0
Time used: 54.52999997138977, Time in circle: 0
Time used: 55.4300000667572, Time in circle: 0
Time used: 56.3199999332428, Time in circle: 0
Time used: 57.230000019073486, Time in circle: 0
Time used: 58.15000009536743, Time in circle: 0
Time used: 59.0699999332428, Time in circle: 0
Time used: 60.019999980926514, Time in circle: 0
Time used: 60.950000047683716, Time in circle: 0
Time used: 61.950000047683716, Time in circle: 0
Time used: 62.90000009536743, Time in circle: 0
Time used: 63.80999994277954, Time in circle: 0
Time used: 64.70000004768372, Time in circle: 0
Time used: 65.57999992370605, Time in circle: 0
Time used: 66.59999990463257, Time in circle: 0
Time used: 67.55999994277954, Time in circle: 0
Time used: 68.54999995231628, Time in circle: 0
Time used: 69.57999992370605, Time in circle: 0
Time used: 70.62999987602234, Time in circle: 0
Time used: 71.60999989509583, Time in circle: 0
Time used: 72.59999990463257, Time in circle: 0
Time used: 73.60999989509583, Time in circle: 0
Time used: 74.58999991416931, Time in circle: 0
Time used: 75.5699999332428, Time in circle: 0
Time used: 76.58999991416931, Time in circle: 0
Time used: 77.60999989509583, Time in circle: 0
Time used: 78.6399998664856, Time in circle: 0
Time used: 79.61999988555908, Time in circle: 0
Time used: 80.61999988555908, Time in circle: 0
Time used: 81.60999989509583, Time in circle: 0
Time used: 82.61999988555908, Time in circle: 0
Time used: 83.58999991416931, Time in circle: 0
Time used: 84.50999999046326, Time in circle: 0
Time used: 85.49000000953674, Time in circle: 0
Time used: 86.44000005722046, Time in circle: 0
Time used: 87.44000005722046, Time in circle: 0
Time used: 88.35999989509583, Time in circle: 0
Time used: 89.29999995231628, Time in circle: 0
Time used: 90.21000003814697, Time in circle: 0
Time used: 91.1399998664856, Time in circle: 0
Time used: 92.0699999332428, Time in circle: 0
Time used: 93.0699999332428, Time in circle: 0
Time used: 94.0, Time in circle: 0
Time used: 94.94000005722046, Time in circle: 0
Time used: 95.92000007629395, Time in circle: 0
Time used: 96.92000007629395, Time in circle: 0
Time used: 97.86999988555908, Time in circle: 0
Time used: 98.83999991416931, Time in circle: 0
Time used: 99.86999988555908, Time in circle: 0
Time used: 100.77999997138977, Time in circle: 0
Time used: 101.76999998092651, Time in circle: 0
Time used: 102.76999998092651, Time in circle: 0
Time used: 103.49000000953674, Time in circle: 0
Time used: 104.03999996185303, Time in circle: 0
Time used: 104.55999994277954, Time in circle: 0
