Time used: 34.24000000953674, Time in circle: 0
Time used: 35.14999985694885, Time in circle: 0
Time used: 36.11999988555908, Time in circle: 0
Time used: 36.99000000953674, Time in circle: 0
Time used: 37.889999866485596, Time in circle: 0
Time used: 38.799999952316284, Time in circle: 0
Time used: 39.75999999046326, Time in circle: 0
Time used: 40.669999837875366, Time in circle: 0
Time used: 41.58999991416931, Time in circle: 0
Time used: 42.47000002861023, Time in circle: 0
Time used: 43.40999984741211, Time in circle: 0
Time used: 44.34999990463257, Time in circle: 0
Time used: 45.25999999046326, Time in circle: 0
Time used: 46.17999982833862, Time in circle: 0
Time used: 47.139999866485596, Time in circle: 0
Time used: 48.139999866485596, Time in circle: 0
Time used: 49.11999988555908, Time in circle: 0
Time used: 50.079999923706055, Time in circle: 0
Time used: 51.019999980926514, Time in circle: 0
Time used: 51.90999984741211, Time in circle: 0
Time used: 52.799999952316284, Time in circle: 0
Time used: 53.67999982833862, Time in circle: 0
Time used: 54.579999923706055, Time in circle: 0
Time used: 55.480000019073486, Time in circle: 0
Time used: 56.37999987602234, Time in circle: 0
Time used: 57.27999997138977, Time in circle: 0
Time used: 58.200000047683716, Time in circle: 0
Time used: 59.11999988555908, Time in circle: 0
Time used: 60.0699999332428, Time in circle: 0
Time used: 61.00999999046326, Time in circle: 0
Time used: 62.0, Time in circle: 0
Time used: 62.96000003814697, Time in circle: 0
Time used: 63.859999895095825, Time in circle: 0
Time used: 64.75999999046326, Time in circle: 0
Time used: 65.6399998664856, Time in circle: 0
Time used: 66.64999985694885, Time in circle: 0
Time used: 67.60999989509583, Time in circle: 0
Time used: 68.59999990463257, Time in circle: 0
Time used: 69.62999987602234, Time in circle: 0
Time used: 70.67999982833862, Time in circle: 0
Time used: 71.65999984741211, Time in circle: 0
Time used: 72.65999984741211, Time in circle: 0
Time used: 73.65999984741211, Time in circle: 0
Time used: 74.6399998664856, Time in circle: 0
Time used: 75.61999988555908, Time in circle: 0
Time used: 76.64999985694885, Time in circle: 0
Time used: 77.66999983787537, Time in circle: 0
Time used: 78.68999981880188, Time in circle: 0
Time used: 79.67999982833862, Time in circle: 0
Time used: 80.66999983787537, Time in circle: 0
Time used: 81.66999983787537, Time in circle: 0
Time used: 82.66999983787537, Time in circle: 0
Time used: 83.6399998664856, Time in circle: 0
Time used: 84.55999994277954, Time in circle: 0
Time used: 85.53999996185303, Time in circle: 0
Time used: 86.49000000953674, Time in circle: 0
Time used: 87.49000000953674, Time in circle: 0
Time used: 88.40999984741211, Time in circle: 0
Time used: 89.34999990463257, Time in circle: 0
Time used: 90.25999999046326, Time in circle: 0
Time used: 91.18999981880188, Time in circle: 0
Time used: 92.11999988555908, Time in circle: 0
Time used: 93.11999988555908, Time in circle: 0
Time used: 94.05999994277954, Time in circle: 0
Time used: 94.99000000953674, Time in circle: 0
Time used: 95.97000002861023, Time in circle: 0
Time used: 96.97000002861023, Time in circle: 0
Time used: 97.92999982833862, Time in circle: 0
Time used: 98.8899998664856, Time in circle: 0
Time used: 99.91999983787537, Time in circle: 0
Time used: 100.82999992370605, Time in circle: 0
Time used: 101.8199999332428, Time in circle: 0
Time used: 102.82999992370605, Time in circle: 0
Time used: 103.54999995231628, Time in circle: 0
Time used: 104.08999991416931, Time in circle: 0
Time used: 104.60999989509583, Time in circle: 0
Time used: 105.16999983787537, Time in circle: 0
Time used: 105.72000002861023, Time in circle: 0
Time used: 106.24000000953674, Time in circle: 0
Time used: 106.80999994277954, Time in circle: 0
Time used: 107.34999990463257, Time in circle: 0
Time used: 107.89999985694885, Time in circle: 0
Time used: 108.47000002861023, Time in circle: 0
Time used: 109.03999996185303, Time in circle: 0
Time used: 109.53999996185303, Time in circle: 0
Time used: 110.0699999332428, Time in circle: 0
Time used: 110.59999990463257, Time in circle: 0
Time used: 111.12999987602234, Time in circle: 0
Time used: 111.66999983787537, Time in circle: 0
Time used: 112.22000002861023, Time in circle: 0
Time used: 112.73000001907349, Time in circle: 0
Time used: 113.26999998092651, Time in circle: 0
Time used: 113.76999998092651, Time in circle: 0
Time used: 114.29999995231628, Time in circle: 0
Time used: 114.84999990463257, Time in circle: 0
Time used: 115.40999984741211, Time in circle: 0
Time used: 115.95000004768372, Time in circle: 0
Time used: 116.5, Time in circle: 0
Time used: 117.01999998092651, Time in circle: 0
Time used: 117.55999994277954, Time in circle: 0
Time used: 118.10999989509583, Time in circle: 0
Time used: 118.65999984741211, Time in circle: 0
Time used: 119.21000003814697, Time in circle: 0
Time used: 119.78999996185303, Time in circle: 0
Time used: 120.30999994277954, Time in circle: 0
Time used: 120.86999988555908, Time in circle: 0
Time used: 121.49000000953674, Time in circle: 0
Time used: 122.04999995231628, Time in circle: 0
Time used: 122.66999983787537, Time in circle: 0
Time used: 123.23000001907349, Time in circle: 0
Time used: 123.71000003814697, Time in circle: 0
Time used: 124.24000000953674, Time in circle: 0
Time used: 124.76999998092651, Time in circle: 0
Time used: 125.32999992370605, Time in circle: 0
Time used: 125.84999990463257, Time in circle: 0
Time used: 126.39999985694885, Time in circle: 0
Time used: 126.91999983787537, Time in circle: 0
Time used: 127.42999982833862, Time in circle: 0
Time used: 127.95000004768372, Time in circle: 0
Time used: 128.5, Time in circle: 0
Time used: 129.05999994277954, Time in circle: 0
Time used: 129.59999990463257, Time in circle: 0
Time used: 130.11999988555908, Time in circle: 0
Time used: 130.70000004768372, Time in circle: 0
Time used: 131.25999999046326, Time in circle: 0
Time used: 131.8399999141693, Time in circle: 0
Time used: 132.41999983787537, Time in circle: 0
Time used: 132.95000004768372, Time in circle: 0
Time used: 133.5, Time in circle: 0
Time used: 134.00999999046326, Time in circle: 0
Time used: 134.5, Time in circle: 0
Time used: 134.9800000190735, Time in circle: 0
Time used: 135.46000003814697, Time in circle: 0
Time used: 135.95000004768372, Time in circle: 0
Time used: 136.42999982833862, Time in circle: 0
Time used: 136.91999983787537, Time in circle: 0
Time used: 137.37999987602234, Time in circle: 0
Time used: 137.85999989509583, Time in circle: 0
Time used: 138.36999988555908, Time in circle: 0
Time used: 138.86999988555908, Time in circle: 0
Time used: 139.34999990463257, Time in circle: 0
Time used: 139.8399999141693, Time in circle: 0
Time used: 140.3199999332428, Time in circle: 0
Time used: 140.79999995231628, Time in circle: 0
Time used: 141.30999994277954, Time in circle: 0
Time used: 141.79999995231628, Time in circle: 0
Time used: 142.28999996185303, Time in circle: 0
Time used: 142.75, Time in circle: 0
Time used: 143.21000003814697, Time in circle: 0
Time used: 143.71000003814697, Time in circle: 0
Time used: 144.20000004768372, Time in circle: 0
Time used: 144.7300000190735, Time in circle: 0
Time used: 145.22000002861023, Time in circle: 0
Time used: 145.70000004768372, Time in circle: 0
Time used: 146.20000004768372, Time in circle: 0
Time used: 146.68999981880188, Time in circle: 0
Time used: 147.18999981880188, Time in circle: 0
Time used: 147.67999982833862, Time in circle: 0
Time used: 148.18999981880188, Time in circle: 0
Time used: 148.66999983787537, Time in circle: 0
Time used: 149.18999981880188, Time in circle: 0
Time used: 149.66999983787537, Time in circle: 0
Time used: 150.14999985694885, Time in circle: 0
Time used: 150.64999985694885, Time in circle: 0
Time used: 151.16999983787537, Time in circle: 0
Time used: 151.6599998474121, Time in circle: 0
Time used: 152.12999987602234, Time in circle: 0
Time used: 152.6399998664856, Time in circle: 0
Time used: 153.12999987602234, Time in circle: 0
Time used: 153.62999987602234, Time in circle: 0
Time used: 154.1399998664856, Time in circle: 0
Time used: 154.64999985694885, Time in circle: 0
Time used: 155.14999985694885, Time in circle: 0
Time used: 155.60999989509583, Time in circle: 0
Time used: 156.11999988555908, Time in circle: 0
Time used: 156.60999989509583, Time in circle: 0
Time used: 157.09999990463257, Time in circle: 0
Time used: 157.57999992370605, Time in circle: 0
Time used: 158.07999992370605, Time in circle: 0
Time used: 158.54999995231628, Time in circle: 0
Time used: 159.03999996185303, Time in circle: 0
Time used: 159.53999996185303, Time in circle: 0
Time used: 160.02999997138977, Time in circle: 0
Time used: 160.49000000953674, Time in circle: 0
Time used: 160.96000003814697, Time in circle: 0
Time used: 161.43999981880188, Time in circle: 0
Time used: 161.92999982833862, Time in circle: 0
Time used: 162.42999982833862, Time in circle: 0
Time used: 162.9099998474121, Time in circle: 0
Time used: 163.39999985694885, Time in circle: 0
Time used: 163.86999988555908, Time in circle: 0
Time used: 164.35999989509583, Time in circle: 0
Time used: 164.84999990463257, Time in circle: 0
Time used: 165.34999990463257, Time in circle: 0
Time used: 165.8399999141693, Time in circle: 0
Time used: 166.32999992370605, Time in circle: 0
Time used: 166.8199999332428, Time in circle: 0
Time used: 167.30999994277954, Time in circle: 0
Time used: 167.80999994277954, Time in circle: 0
Time used: 168.29999995231628, Time in circle: 0
Time used: 168.78999996185303, Time in circle: 0
Time used: 169.28999996185303, Time in circle: 0
Time used: 169.77999997138977, Time in circle: 0
Time used: 170.25, Time in circle: 0
Time used: 170.75, Time in circle: 0
Time used: 171.22000002861023, Time in circle: 0
Time used: 171.71000003814697, Time in circle: 0
Time used: 172.21000003814697, Time in circle: 0
Time used: 172.71000003814697, Time in circle: 0
Time used: 173.22000002861023, Time in circle: 0
Time used: 173.68999981880188, Time in circle: 0
Time used: 174.17999982833862, Time in circle: 0
Time used: 174.66999983787537, Time in circle: 0
Time used: 175.16999983787537, Time in circle: 0
Time used: 175.66999983787537, Time in circle: 0
Time used: 176.18999981880188, Time in circle: 0
Time used: 176.66999983787537, Time in circle: 0
Time used: 177.1599998474121, Time in circle: 0
Time used: 177.6599998474121, Time in circle: 0
Time used: 178.1599998474121, Time in circle: 0
Time used: 178.6399998664856, Time in circle: 0
Time used: 179.1399998664856, Time in circle: 0
Time used: 179.61999988555908, Time in circle: 0
Time used: 180.11999988555908, Time in circle: 0
Time used: 180.60999989509583, Time in circle: 0
Time used: 181.11999988555908, Time in circle: 0
Time used: 181.60999989509583, Time in circle: 0
Time used: 182.09999990463257, Time in circle: 0
Time used: 182.5699999332428, Time in circle: 0
Time used: 183.07999992370605, Time in circle: 0
Time used: 183.57999992370605, Time in circle: 0
Time used: 184.07999992370605, Time in circle: 0
Time used: 184.60999989509583, Time in circle: 0
Time used: 185.12999987602234, Time in circle: 0
Time used: 185.62999987602234, Time in circle: 0
Time used: 186.1399998664856, Time in circle: 0
Time used: 186.60999989509583, Time in circle: 0
Time used: 187.09999990463257, Time in circle: 0
Time used: 187.60999989509583, Time in circle: 0
Time used: 188.10999989509583, Time in circle: 0
Time used: 188.60999989509583, Time in circle: 0
Time used: 189.0899999141693, Time in circle: 0
Time used: 189.5899999141693, Time in circle: 0
Time used: 190.0899999141693, Time in circle: 0
Time used: 190.5899999141693, Time in circle: 0
Time used: 191.09999990463257, Time in circle: 0
Time used: 191.62999987602234, Time in circle: 0
Time used: 192.12999987602234, Time in circle: 0
Time used: 192.6399998664856, Time in circle: 0
Time used: 193.11999988555908, Time in circle: 0
Time used: 193.60999989509583, Time in circle: 0
Time used: 194.10999989509583, Time in circle: 0
Time used: 194.60999989509583, Time in circle: 0
Time used: 195.0899999141693, Time in circle: 0
Time used: 195.59999990463257, Time in circle: 0
Time used: 196.07999992370605, Time in circle: 0
Time used: 196.55999994277954, Time in circle: 0
Time used: 197.05999994277954, Time in circle: 0
Time used: 197.55999994277954, Time in circle: 0
Time used: 198.05999994277954, Time in circle: 0
Time used: 198.54999995231628, Time in circle: 0
Time used: 199.02999997138977, Time in circle: 0
Time used: 199.52999997138977, Time in circle: 0
Time used: 200.03999996185303, Time in circle: 0
Time used: 200.54999995231628, Time in circle: 0
Time used: 201.03999996185303, Time in circle: 0
Time used: 201.54999995231628, Time in circle: 0
Time used: 202.02999997138977, Time in circle: 0
Time used: 202.5199999809265, Time in circle: 0
Time used: 203.0199999809265, Time in circle: 0
Time used: 203.50999999046326, Time in circle: 0
Time used: 204.0, Time in circle: 0
Time used: 204.52999997138977, Time in circle: 0
Time used: 205.0, Time in circle: 0
Time used: 205.4800000190735, Time in circle: 0
Time used: 205.9800000190735, Time in circle: 0
Time used: 206.5, Time in circle: 0
Time used: 207.0, Time in circle: 0
Time used: 207.49000000953674, Time in circle: 0
Time used: 207.9800000190735, Time in circle: 0
Time used: 208.45000004768372, Time in circle: 0
Time used: 208.93999981880188, Time in circle: 0
Time used: 209.42999982833862, Time in circle: 0
Time used: 209.95000004768372, Time in circle: 0
Time used: 210.41999983787537, Time in circle: 0
Time used: 210.8899998664856, Time in circle: 0
Time used: 211.3899998664856, Time in circle: 0
Time used: 211.87999987602234, Time in circle: 0
Time used: 212.3899998664856, Time in circle: 0
Time used: 212.8899998664856, Time in circle: 0
Time used: 213.37999987602234, Time in circle: 0
Time used: 213.8899998664856, Time in circle: 0
Time used: 214.36999988555908, Time in circle: 0
Time used: 214.86999988555908, Time in circle: 0
Time used: 215.36999988555908, Time in circle: 0
Time used: 215.86999988555908, Time in circle: 0
Time used: 216.36999988555908, Time in circle: 0
Time used: 216.8899998664856, Time in circle: 0
Time used: 217.39999985694885, Time in circle: 0
Time used: 217.86999988555908, Time in circle: 0
Time used: 218.35999989509583, Time in circle: 0
Time used: 218.85999989509583, Time in circle: 0
Time used: 219.35999989509583, Time in circle: 0
Time used: 219.87999987602234, Time in circle: 0
Time used: 220.37999987602234, Time in circle: 0
Time used: 220.85999989509583, Time in circle: 0
Time used: 221.34999990463257, Time in circle: 0
Time used: 221.84999990463257, Time in circle: 0
Time used: 222.34999990463257, Time in circle: 0
Time used: 222.85999989509583, Time in circle: 0
Time used: 223.34999990463257, Time in circle: 0
Time used: 223.86999988555908, Time in circle: 0
Time used: 224.3399999141693, Time in circle: 0
Time used: 224.8199999332428, Time in circle: 0
Time used: 225.29999995231628, Time in circle: 0
Time used: 225.80999994277954, Time in circle: 0
Time used: 226.3199999332428, Time in circle: 0
Time used: 226.8199999332428, Time in circle: 0
Time used: 227.3199999332428, Time in circle: 0
Time used: 227.78999996185303, Time in circle: 0
Time used: 228.27999997138977, Time in circle: 0
Time used: 228.7699999809265, Time in circle: 0
Time used: 229.27999997138977, Time in circle: 0
Time used: 229.78999996185303, Time in circle: 0
Time used: 230.29999995231628, Time in circle: 0
Time used: 230.77999997138977, Time in circle: 0
Time used: 231.27999997138977, Time in circle: 0
Time used: 231.7699999809265, Time in circle: 0
Time used: 232.2699999809265, Time in circle: 0
Time used: 232.7699999809265, Time in circle: 0
Time used: 233.27999997138977, Time in circle: 0
Time used: 233.75, Time in circle: 0
Time used: 234.25, Time in circle: 0
Time used: 234.75999999046326, Time in circle: 0
Time used: 235.25999999046326, Time in circle: 0
Time used: 235.7699999809265, Time in circle: 0
Time used: 236.25999999046326, Time in circle: 0
Time used: 236.75999999046326, Time in circle: 0
Time used: 237.27999997138977, Time in circle: 0
Time used: 237.7699999809265, Time in circle: 0
Time used: 238.28999996185303, Time in circle: 0
Time used: 238.79999995231628, Time in circle: 0
Time used: 239.3199999332428, Time in circle: 0
Time used: 239.8199999332428, Time in circle: 0
Time used: 0.8799998760223389, Time in circle: 0
Time used: 1.5099999904632568, Time in circle: 0
Time used: 2.200000047683716, Time in circle: 0
Time used: 2.8499999046325684, Time in circle: 0
Time used: 3.5, Time in circle: 0
Time used: 4.150000095367432, Time in circle: 0
Time used: 4.799999952316284, Time in circle: 0
Time used: 5.430000066757202, Time in circle: 0
Time used: 6.069999933242798, Time in circle: 0
Time used: 6.690000057220459, Time in circle: 0
Time used: 7.329999923706055, Time in circle: 0
Time used: 7.9700000286102295, Time in circle: 0
Time used: 8.619999885559082, Time in circle: 0
Time used: 9.259999990463257, Time in circle: 0
Time used: 9.900000095367432, Time in circle: 0
Time used: 10.539999961853027, Time in circle: 0
Time used: 11.190000057220459, Time in circle: 0
Time used: 11.859999895095825, Time in circle: 0
Time used: 12.509999990463257, Time in circle: 0
Time used: 13.140000104904175, Time in circle: 0
Time used: 13.809999942779541, Time in circle: 0
Time used: 14.450000047683716, Time in circle: 0
Time used: 15.079999923706055, Time in circle: 0
Time used: 15.72000002861023, Time in circle: 0
Time used: 16.369999885559082, Time in circle: 0
Time used: 17.019999980926514, Time in circle: 0
Time used: 17.640000104904175, Time in circle: 0
Time used: 18.27999997138977, Time in circle: 0
Time used: 18.87999987602234, Time in circle: 0
Time used: 19.5, Time in circle: 0
Time used: 20.119999885559082, Time in circle: 0
Time used: 20.759999990463257, Time in circle: 0
Time used: 21.41000008583069, Time in circle: 0
Time used: 22.049999952316284, Time in circle: 0
Time used: 22.700000047683716, Time in circle: 0
Time used: 23.359999895095825, Time in circle: 0
Time used: 23.990000009536743, Time in circle: 0
